,,,,,,,,,,
,,,,,,,,,,
Course,R.Y,Members R. retention,R.Graduates,R.Dropout,Retention Rate,Cmlt Graduation,Cmlt Dropout,A.Graduation Rate,A.Dropout Rate,Pandemic
ENGENHARIA DE PRODUÇÃO,2021,42,0,1,"87,5","0,0","12,5","0,0","2,1","1,0"
ENGENHARIA DE PRODUÇÃO,2022,40,2,0,"83,3","4,2","12,5","4,2","0,0","1,0"
ENGENHARIA MECÂNICA,2018,38,0,1,"97,4","0,0","2,6","0,0","2,6","0,0"
ENGENHARIA MECÂNICA,2019,37,0,1,"94,9","0,0","5,1","0,0","2,6","0,0"
ENGENHARIA MECÂNICA,2020,35,0,2,"89,7","0,0","10,3","0,0","5,1","1,0"
ENGENHARIA MECÂNICA,2021,35,0,0,"89,7","0,0","10,3","0,0","0,0","1,0"
ENGENHARIA MECÂNICA,2022,33,0,2,"84,6","0,0","15,4","0,0","5,1","1,0"
ENGENHARIA CIVIL,2018,72,0,1,"98,6","0,0","1,4","0,0","1,4","0,0"
ENGENHARIA CIVIL,2019,67,0,5,"91,8","0,0","8,2","0,0","6,8","0,0"
ENGENHARIA CIVIL,2020,65,0,2,"89,0","0,0","11,0","0,0","2,7","1,0"
ENGENHARIA CIVIL,2021,61,1,3,"83,6","1,4","15,1","1,4","4,1","1,0"
ENGENHARIA CIVIL,2022,44,13,4,"60,3","19,2","20,5","17,8","5,5","1,0"
ENGENHARIA FLORESTAL,2018,61,0,7,"89,7","0,0","10,3","0,0","10,3","0,0"
ENGENHARIA FLORESTAL,2019,51,0,10,"75,0","0,0","25,0","0,0","14,7","0,0"
ENGENHARIA FLORESTAL,2020,49,0,2,"72,1","0,0","27,9","0,0","2,9","1,0"
ENGENHARIA FLORESTAL,2021,47,2,0,"69,1","2,9","27,9","2,9","0,0","1,0"
ENGENHARIA FLORESTAL,2022,46,1,0,"67,6","4,4","27,9","1,5","0,0","1,0"
ENGENHARIA DE PRODUÇÃO,2018,67,0,5,"93,1","0,0","6,9","0,0","6,9","0,0"
ENGENHARIA DE PRODUÇÃO,2019,60,0,7,"83,3","0,0","16,7","0,0","9,7","0,0"
ENGENHARIA DE PRODUÇÃO,2020,58,0,2,"80,6","0,0","19,4","0,0","2,8","1,0"
ENGENHARIA DE PRODUÇÃO,2021,56,1,1,"77,8","1,4","20,8","1,4","1,4","1,0"
ENGENHARIA DE PRODUÇÃO,2022,50,5,1,"69,4","8,3","22,2","6,9","1,4","1,0"
ENGENHARIA ELÉTRICA,2018,73,0,1,"98,6","0,0","1,4","0,0","1,4","0,0"
ENGENHARIA ELÉTRICA,2019,70,0,3,"94,6","0,0","5,4","0,0","4,1","0,0"
ENGENHARIA ELÉTRICA,2020,66,0,4,"89,2","0,0","10,8","0,0","5,4","1,0"
ENGENHARIA ELÉTRICA,2021,65,0,1,"87,8","0,0","12,2","0,0","1,4","1,0"
ENGENHARIA ELÉTRICA,2022,61,0,4,"82,4","0,0","17,6","0,0","5,4","1,0"
ENGENHARIA MECÂNICA,2018,62,0,3,"95,4","0,0","4,6","0,0","4,6","0,0"
ENGENHARIA MECÂNICA,2019,54,0,8,"83,1","0,0","16,9","0,0","12,3","0,0"
ENGENHARIA MECÂNICA,2020,50,0,4,"76,9","0,0","23,1","0,0","6,2","1,0"
ENGENHARIA MECÂNICA,2021,50,0,0,"76,9","0,0","23,1","0,0","0,0","1,0"
